VMName,BusinessUnit,SubUnit,CostCentre,Project,vCPU,vRAM,vDisk,vCPUHours,GBMemHours,GBStorHours,DR,StorageTier,ChargevCPU,ChargevRAM,ChargevDisk,Moref,ResourceSubtotal,Backup,BackupCost,Total,BillingPeriod
sydngslb02,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,3.0,19.0,Feb-2024
SYDNWSESSQLD-DR (0aaab618-1d83-4e26-834c-af4560027a80),GCRP,,,,,,,1006.0,4024.0,922200,,,30.787069,134.711494,198.75,,364.248563,no,0.0,364.248563,Feb-2024
SYDNGSLB02,GRPINFR,PRD,609100.0,<blank>,2.0,2.0,20.0,1392.0,5568.0,13920,,Production,42.6,186.4,3.0,vm-5211,232.0,no,0.0,232.0,Feb-2024
sydnwwebs04,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,7.65,23.65,Feb-2024
SYDNWLICP01,GRPINFR,PRD,609100.0,,2.0,4.0,80.0,1392.0,2784.0,39672,105.56,,42.6,93.2,5.7,vm-7283,141.5,no,0.0,247.06,Feb-2024
sydnwsgwp03,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,16.2,32.2,Feb-2024
sydnwinfp132,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,6.75,22.75,Feb-2024
SYDNWDBAP66,S&L,PRD,623000.0,PACE,16.0,63.0,329.0,11136.0,43848.0,214368,798.59,,340.8,1467.9,107.8,vm-4795,1916.5,yes,13.5,2744.59,Feb-2024
SYDNWWEBP35,GRPINFR,PRD,609100.0,,2.0,8.0,80.0,1392.0,5568.0,36192,,,42.6,186.4,5.2,vm-33602,234.2,no,0.0,234.2,Feb-2024
GRCL_SYDNWSTSSQLD01,GCRP,STG,623000.0,Crop Connect DR,4.0,12.0,1480.0,1692.0,5076.0,318072,,,51.781034,169.92931,68.55,vm-33240,290.260345,yes,18.6,324.860345,Feb-2024
sydnwwebp120,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,8.55,24.55,Feb-2024
SYDNWSGWD01,S&L,QA,623000.0,<blank>,10.0,48.0,1357.0,4150.0,19920.0,1848576,,,127.00431,666.862069,531.2,vm-33426,1325.066379,no,0.0,1325.066379,Feb-2024
SYDNWWEBP112,S&L,PRD,62920000.0,PACE,2.0,4.0,100.0,1392.0,2784.0,41760,,,42.6,93.2,6.0,vm-33456,141.8,no,0.0,141.8,Feb-2024
grcl_sydnwsapd300,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,222.15,238.15,Feb-2024
sydnwinfp153,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,8.85,24.85,Feb-2024
SYDNWSAPD10,S&L,QA,623000.0,,8.0,16.0,190.0,3320.0,6640.0,131544,,,101.603448,222.287356,18.9,vm-33726,342.790805,no,0.0,342.790805,Feb-2024
sydnwinfp116,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,8.7,24.7,Feb-2024
SYDNWDBAS12,S&L,STG,62920000.0,,8.0,32.0,120.0,5568.0,22272.0,74472,,,170.4,745.6,10.7,vm-33635,926.7,no,0.0,926.7,Feb-2024
SYDNGSLB02-RESTORE19JAN,GCRP,,,,,,,0.0,0.0,13920,,,0.0,0.0,3.0,,3.0,no,0.0,3.0,Feb-2024
grcl_sydnwsapd201,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,116.25,132.25,Feb-2024
sydnwinfp122,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,9.9,25.9,Feb-2024
SYDNWINFDDC2,S&L,DEV,623000.0,<blank>,2.0,2.0,40.0,0.0,0.0,27144,,,0.0,0.0,3.9,vm-33431,3.9,no,0.0,3.9,Feb-2024
sydnwscsd01,CORP,DEV,615500.0,SAP Content Server DEV,4.0,8.0,805.0,1636.0,3272.0,542880,,,50.067241,109.536782,78.0,vm-33241,237.604023,yes,117.6,371.204023,Feb-2024
SYDNWSQLS02,S&L,STG,62920000.0,PACE,2.0,2.0,350.0,1392.0,1392.0,242904,,,42.6,46.6,34.9,vm-33722,124.1,no,0.0,124.1,Feb-2024
sydnwdbad82,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,646.65,662.65,Feb-2024
sydnwsapp10,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,27.0,43.0,Feb-2024
SYDNWDBAD71,S&L,DEV,62920000.0,S&L SAP BW Upgrade,16.0,56.0,8366.0,6640.0,23240.0,5862408,,,203.206897,778.005747,842.3,vm-33472,1823.512644,no,0.0,1823.512644,Feb-2024
vse-GRCL-VDC-BUBBLE-EGW (50351670-4c69-46dc-abf7-0ecd2448f8e3)-0,GCRP,,,,,,,696.0,696.0,696,,,21.3,23.3,0.1,,44.7,no,0.0,44.7,Feb-2024
sydnwdbad25,S&L,DEV,62920000.0,PACE,2.0,4.0,100.0,930.0,1860.0,64728,,,28.461207,62.267241,9.3,vm-33690,100.028448,yes,8.7,124.728448,Feb-2024
SYDNWSAPP01 (5d2c8f04-0a77-49f4-8c1c-72f3620fe3ac),MKT,Prod,623000.0,,4.0,32.0,875.0,2784.0,22272.0,574200,647.21,,85.2,745.6,288.75,vm-4858,1119.55,yes,50.55,1833.31,Feb-2024
sydnwdbap67,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,15.15,31.15,Feb-2024
SYDNWSQLQ03,S&L,QA,62920000.0,PACE,2.0,4.0,200.0,912.0,1824.0,105792,,,27.910345,61.062069,15.2,vm-33634,104.172414,yes,8.7,128.872414,Feb-2024
sydnwsapp12,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,20.7,36.7,Feb-2024
sydnwinfd57,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,51.6,67.6,Feb-2024
SYDNWSAPP205 (0f3803d3-28f8-49cb-8a06-6f34cbc1484e),GRPINFR,,609100.0,,8.0,24.0,1119.0,5568.0,16704.0,599256,417.42,,170.4,559.2,129.15,vm-358,858.75,no,0.0,1276.17,Feb-2024
SYDNWDBAD70,S&L,DEV,62920000.0,S&L SAP BW Upgrade,4.0,32.0,860.0,1660.0,13280.0,507384,,,50.801724,444.574713,72.9,vm-33473,568.276437,no,0.0,568.276437,Feb-2024
GrainCorp Windows Server 2016 - Base Template-Feye,GCRP,,,,,,,0.0,0.0,9048,,,0.0,0.0,1.95,,1.95,no,0.0,1.95,Feb-2024
GrainCorp Windows Server 2016 - Base Template-Znv6,GCRP,,,,,,,0.0,0.0,9048,,,0.0,0.0,1.3,,1.3,no,0.0,1.3,Feb-2024
GRCL_SYDNWSAPD300,CORP,DEV,609200.0,SAP Migration,8.0,48.0,1482.0,5568.0,33408.0,852600,,,170.4,1118.4,183.75,vm-33427,1472.55,no,0.0,1472.55,Feb-2024
sydnwwebd12,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,7.35,23.35,Feb-2024
sydnwcomp101,S&L,PRD,62920000.0,,4.0,24.0,200.0,720.0,4320.0,98832,345.68,,22.034483,144.62069,49.7,vm-3748,216.355172,yes,21.6,599.635172,Feb-2024
sydnwsqls01,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,24.0,40.0,Feb-2024
SYDNWWEBS04,S&L,STG,62920000.0,PACE,2.0,4.0,60.0,882.0,1764.0,34800,,,26.992241,59.053448,5.0,vm-33698,91.04569,no,0.0,91.04569,Feb-2024
sydnwsapd01,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,179.25,195.25,Feb-2024
SYDNWSGWP03,S&L,PRD,62920000.0,,8.0,12.0,120.0,5568.0,8352.0,77256,219.6,,170.4,279.6,11.1,vm-4853,461.1,no,0.0,680.7,Feb-2024
SYDNWSESCID01 (231db642-dde8-4dc4-ae80-e6a7097ce414),GRPINFR,,,,4.0,32.0,1449.0,1636.0,13088.0,913848,558.31,,50.067241,438.147126,196.95,vm-17522,685.164368,no,0.0,1243.474368,Feb-2024
GRCL-GBS-AZMA01,GCRP,,,,,,,0.0,0.0,34800,,,0.0,0.0,7.5,,7.5,no,0.0,7.5,Feb-2024
sydnwwebp111,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,9.0,25.0,Feb-2024
SYDNWINFDDC4,GRPINFR,PRD,609100.0,,2.0,8.0,80.0,0.0,0.0,35496,,,0.0,0.0,5.1,vm-33610,5.1,no,0.0,5.1,Feb-2024
SYDNWWEBS10,S&L,STG,62920000.0,,2.0,8.0,80.0,912.0,3648.0,34800,,,27.910345,122.124138,5.0,vm-33674,155.034483,no,0.0,155.034483,Feb-2024
SYDNWSAPP12,S&L,PRD,623000.0,,8.0,32.0,215.0,5568.0,22272.0,140592,,,170.4,745.6,20.2,vm-33653,936.2,no,0.0,936.2,Feb-2024
